SampleID,Site,Datetime,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab,d2H,d18O
WG0047,glacier_hut,9/6/19 18:15,,15.96,,5.4,,,96.32,4.82,0,2.63,0,0.06,0.15,0,0.53,0.13,0.01,,0.11,,0.01,0.01,2.6,0,0.01,0.01,0,0.86,1.18,0.01,,-121.401,-16.531
WG0048,glacier_hut,9/7/19 10:05,,15.58,,5.51,,,98.65,4.94,0,2.55,0.01,0.06,0.14,0,0.51,0.1,0.01,,0.15,,0.01,0.03,2.55,0,0,0,0,0.34,1.39,0.2,,-123.156,-16.836
WG0049,mid_gw,9/7/19 11:00,,68.06,,5.88,,,550.99,27.57,0,14.03,0,0.13,0.29,0,0.89,0.75,0.07,,0.26,,0,0.02,8.4,0,0,0.04,0,0.9,1.39,0.77,,-104.103,-12.521
WG0050,Tundra,9/7/19 12:50,,26.71,,5.76,,,223,11.16,0,4.73,0,0.04,0.14,0,0.81,0.51,0.03,,0.2,,0.01,0.02,2.09,0,0,0.02,0,0.85,1.36,0.45,,-111.763,-15.03
WG0051,glacier_hut,9/7/19 17:30,,16.14,,5.4,,,87.68,4.39,0,2.37,0.01,0.04,0.13,0,0.49,0.11,0.01,,0.13,,0.01,0.02,2.32,0,0.01,0.04,0,1.01,1.47,0.2,,-122.376,-16.84
WG0052,Rain Collection,9/7/19 21:32,,,,,,,,,,,,,,,,,,,1.63,,0.04,0.02,1.01,0.14,0.01,0.74,0.18,4.18,1.28,0.46,,-101.905,-13.692
WG0053,Rain Collection,9/8/19 7:00,8,3.24,0.8,5.48,,,19.93,1,0,0.21,0,0.11,0.02,0,0.64,0.07,0,,0.18,,0.01,0.02,0.01,0,0.01,0.03,0,1.35,1.26,0.37,,-100.32,-13.594
WG0054,glacier_hut,9/8/19 9:15,,14.79,,5.4,,,86.63,4.34,0,2.55,0.01,0.07,0.13,0,0.41,0.11,0.01,,0.15,,0.01,0.02,2.36,0,0.01,0.01,0,0.69,1.52,0.16,,-120.253,-16.456
WG0055,mid_gw,9/8/19 12:00,,84.4,,5.85,,,503.09,25.18,0,17.39,0,0.14,0.35,0,0.92,0.71,0.09,,0.19,,0,0.02,16.83,0,0,0.02,0,0.85,1.41,0.47,,-98.229,-12.099
WG0056,Tundra,9/8/19 13:15,,24,,5.74,,,188.66,9.44,0,4.37,0,0.07,0.13,0,0.96,0.5,0.03,,0.19,,0.01,0.03,2.03,0,0.01,0.05,0,1.14,1.36,0.48,,-109.579,-14.875
